application_number,application_year,application_date,xml_relative_path
10130250,2003,20030102,xml_files\pa030102_10130250_20030102.xml
10171666,2003,20030102,xml_files\pa030102_10171666_20030102.xml
10230846,2003,20030102,xml_files\pa030102_10230846_20030102.xml
10171667,2003,20030102,xml_files\pa030102_10171667_20030102.xml
10040642,2003,20030102,xml_files\pa030102_10040642_20030102.xml
10042227,2003,20030102,xml_files\pa030102_10042227_20030102.xml
10212340,2003,20030102,xml_files\pa030102_10212340_20030102.xml
10188177,2003,20030102,xml_files\pa030102_10188177_20030102.xml
9943884,2003,20030102,xml_files\pa030102_09943884_20030102.xml
9943869,2003,20030102,xml_files\pa030102_09943869_20030102.xml
10176686,2003,20030102,xml_files\pa030102_10176686_20030102.xml
10183684,2003,20030102,xml_files\pa030102_10183684_20030102.xml
9891765,2003,20030102,xml_files\pa030102_09891765_20030102.xml
9991871,2003,20030102,xml_files\pa030102_09991871_20030102.xml
10228251,2003,20030102,xml_files\pa030102_10228251_20030102.xml
10143423,2003,20030102,xml_files\pa030102_10143423_20030102.xml
10133442,2003,20030102,xml_files\pa030102_10133442_20030102.xml
10147902,2003,20030102,xml_files\pa030102_10147902_20030102.xml
9892930,2003,20030102,xml_files\pa030102_09892930_20030102.xml
10182357,2003,20030102,xml_files\pa030102_10182357_20030102.xml
10073047,2003,20030102,xml_files\pa030102_10073047_20030102.xml
10180084,2003,20030102,xml_files\pa030102_10180084_20030102.xml
10172030,2003,20030102,xml_files\pa030102_10172030_20030102.xml
10144653,2003,20030102,xml_files\pa030102_10144653_20030102.xml
9894304,2003,20030102,xml_files\pa030102_09894304_20030102.xml
10162142,2003,20030102,xml_files\pa030102_10162142_20030102.xml
9894986,2003,20030102,xml_files\pa030102_09894986_20030102.xml
10167846,2003,20030102,xml_files\pa030102_10167846_20030102.xml
9824141,2003,20030102,xml_files\pa030102_09824141_20030102.xml
9824145,2003,20030102,xml_files\pa030102_09824145_20030102.xml
10093111,2003,20030102,xml_files\pa030102_10093111_20030102.xml
10105921,2003,20030102,xml_files\pa030102_10105921_20030102.xml
10235865,2003,20030102,xml_files\pa030102_10235865_20030102.xml
10162427,2003,20030102,xml_files\pa030102_10162427_20030102.xml
9881773,2003,20030102,xml_files\pa030102_09881773_20030102.xml
10176309,2003,20030102,xml_files\pa030102_10176309_20030102.xml
10226469,2003,20030102,xml_files\pa030102_10226469_20030102.xml
10232559,2003,20030102,xml_files\pa030102_10232559_20030102.xml
10158298,2003,20030102,xml_files\pa030102_10158298_20030102.xml
9894575,2003,20030102,xml_files\pa030102_09894575_20030102.xml
10182892,2003,20030102,xml_files\pa030102_10182892_20030102.xml
10182886,2003,20030102,xml_files\pa030102_10182886_20030102.xml
